fileName	dsk	author
2007\01\06\1816761.xml	Metropolitan Desk	By ANDY NEWMAN; Matthew Sweeney and Tanzina Vega contributed reporting.
2007\01\06\1816762.xml	Metropolitan Desk	By STEVEN GREENHOUSE
2007\01\06\1816776.xml	Foreign Desk	By CHRISTOPHER MASON
2007\01\06\1816777.xml	Foreign Desk	By ALAN COWELL
2007\01\06\1816778.xml	Foreign Desk	By ALAN COWELL
2007\01\06\1816779.xml	Foreign Desk	By MARK LANDLER
2007\01\06\1816780.xml	Sports Desk	By TYLER KEPNER
2007\01\06\1816781.xml	Sports Desk	By HOWARD BECK
2007\01\06\1816782.xml	Sports Desk	By JOE LAPOINTE
2007\01\06\1816783.xml	Sports Desk	By CLIFTON BROWN
2007\01\06\1816784.xml	Sports Desk	By KAREN CROUSE
2007\01\06\1816786.xml	Sports Desk	By BEN SHPIGEL
2007\01\06\1816787.xml	The Arts/Cultural Desk	By KATHRYN SHATTUCK
2007\01\06\1816788.xml	The Arts/Cultural Desk	By KATHRYN SHATTUCK
2007\01\06\1816789.xml	Sports Desk	By THE ASSOCIATED PRESS
2007\01\07\1816834.xml	Book Review Desk	By William F. Buckley Jr.
2007\01\07\1816835.xml	Book Review Desk	By Lauren Collins
2007\01\07\1816836.xml	Book Review Desk	By FOUAD AJAMI
2007\01\07\1816837.xml	Book Review Desk	By ALEX BERENSON
2007\01\07\1816838.xml	Book Review Desk	By ETHAN BRONNER
2007\01\07\1816839.xml	Book Review Desk	By Matthew Price
<br>
2007\01\07\1816840.xml	Book Review Desk	By JOHN T. EDGE
2007\01\07\1816841.xml	Book Review Desk	By PAUL GRAY
2007\01\07\1816842.xml	Book Review Desk	By CLYDE HABERMAN
2007\01\07\1816843.xml	Book Review Desk	By DAVE ITZKOFF
2007\01\07\1816844.xml	Book Review Desk	By GEORGE JOHNSON
2007\01\07\1816845.xml	Book Review Desk	By WALTER KIRN
2007\01\07\1816846.xml	Book Review Desk	By RICHARD POWERS
2007\01\07\1816847.xml	Book Review Desk	By MATTHEW PRICE
2007\01\07\1816848.xml	Book Review Desk	By POLLY MORRICE
2007\01\07\1816849.xml	Book Review Desk	By SARAH SAFFIAN
2007\01\07\1816850.xml	Book Review Desk	By RICK PERLSTEIN
2007\01\07\1816851.xml	Book Review Desk	By ELISSA SCHAPPELL
2007\01\07\1816852.xml	Book Review Desk	By RONALD SPECTOR
2007\01\07\1816853.xml	Book Review Desk	By ALLAN SLOAN
2007\01\07\1816854.xml	Education Life Supplement	By JEREMY KAHN
2007\01\07\1816855.xml	Education Life Supplement	By CHRISTINE LAGORIO
2007\01\07\1816858.xml	Education Life Supplement	By Marek Fuchs
2007\01\07\1816860.xml	Education Life Supplement	By RACHEL AVIV
2007\01\07\1816862.xml	Education Life Supplement	By VICTORIA GOLDMAN
2007\01\07\1816863.xml	Education Life Supplement	By JAMIE WALLIS
2007\01\07\1816864.xml	Education Life Supplement	By Fran Silverman
2007\01\07\1816865.xml	Book Review Desk	By TERRENCE RAFFERTY
2007\01\07\1816868.xml	Book Review Desk	By DWIGHT GARNER
2007\01\07\1816869.xml	Book Review Desk	By IHSAN TAYLOR
2007\01\07\1816870.xml	Travel Desk	By GREGORY DICUM
2007\01\07\1816871.xml	Travel Desk	By HILARY HOWARD
2007\01\07\1816872.xml	Travel Desk	By JENNIFER CONLIN
2007\01\07\1816873.xml	Travel Desk	By JENNIFER CONLIN
2007\01\07\1816874.xml	Travel Desk	By JENNIFER CONLIN
2007\01\07\1816875.xml	Travel Desk	By ARIC CHEN
2007\01\07\1816876.xml	Travel Desk	By CHRISTOPHER SOLOMON
2007\01\07\1816877.xml	Travel Desk	By ELAINE GLUSAC
2007\01\07\1816878.xml	Travel Desk	By SARAH WILDMAN
2007\01\07\1816879.xml	Travel Desk	By MICHELLE HIGGINS
2007\01\07\1816880.xml	Travel Desk	By ROGER COLLIS
2007\01\07\1816881.xml	Travel Desk	By ANN M. MORRISON
2007\01\07\1816882.xml	Travel Desk	By MATT GROSS
2007\01\07\1816883.xml	Travel Desk	By SHAILA DEWAN
2007\01\07\1816884.xml	Travel Desk	By SETH KUGEL
2007\01\07\1816885.xml	Travel Desk	As told to Sophia Kishkovsky
2007\01\07\1816886.xml	Book Review Desk	By THE EDITORS
2007\01\07\1816891.xml	Magazine	By Michael Sokolove
2007\01\07\1816892.xml	Magazine	By Amanda Hesser
2007\01\07\1816893.xml	Magazine	By Michael Connelly
2007\01\07\1816894.xml	Magazine	By Shalom Auslander
2007\01\07\1816895.xml	Magazine	By Allen Shawn
2007\01\07\1816897.xml	Magazine	By Lisa Belkin
2007\01\07\1816898.xml	Magazine	By Herbert Muschamp
2007\01\07\1816899.xml	Magazine	By RANDY COHEN
2007\01\07\1816900.xml	Magazine	By STEPHEN J. DUBNER AND STEVEN D. LEVITT
2007\01\07\1816901.xml	Magazine	By WILLIAM SAFIRE
2007\01\07\1816902.xml	Magazine	By DEBORAH SOLOMON
2007\01\07\1816903.xml	Magazine	By Noah Feldman
2007\01\07\1816904.xml	Magazine	By ROB WALKER
2007\01\07\1816905.xml	Magazine	By D.T. Max
2007\01\07\1816907.xml	Education Life Supplement	By Charles McGrath
2007\01\07\1816908.xml	Education Life Supplement	By Eric Dash
2007\01\07\1816909.xml	Education Life Supplement	By Timothy Egan
2007\01\07\1816910.xml	Education Life Supplement	By Laura Pappano
2007\01\07\1816911.xml	Education Life Supplement	By Christine Lagorio
2007\01\07\1816912.xml	Education Life Supplement	By Michelle Slatalla
2007\01\07\1816913.xml	Education Life Supplement	By Rachel Aviv
2007\01\07\1816914.xml	Education Life Supplement	By John Schwartz
2007\01\07\1816915.xml	Arts and Leisure Desk	By SYLVIANE GOLD
2007\01\07\1816916.xml	Arts and Leisure Desk	By CARYN JAMES
2007\01\07\1816917.xml	Arts and Leisure Desk	By CARYN JAMES
2007\01\07\1816918.xml	Arts and Leisure Desk	By MARGY ROCHLIN
2007\01\07\1816919.xml	Arts and Leisure Desk	By DENNIS LIM
2007\01\07\1816920.xml	Arts and Leisure Desk	By ALAN RIDING
2007\01\07\1816921.xml	Arts and Leisure Desk	By CHARLES SOLOMON
2007\01\07\1816922.xml	Arts and Leisure Desk	By SHARON WAXMAN
2007\01\07\1816923.xml	Arts and Leisure Desk	By JON BURLINGAME
2007\01\07\1816924.xml	Arts and Leisure Desk	By A.O. SCOTT; MANOHLA DARGIS; STEPHEN HOLDEN
2007\01\07\1816925.xml	Arts and Leisure Desk	By Holland Cotter
2007\01\07\1816926.xml	Arts and Leisure Desk	By Anthony Tommasini
2007\01\07\1816927.xml	Arts and Leisure Desk	By Jennifer Dunning
2007\01\07\1816928.xml	Arts and Leisure Desk	By A. O. Scott
2007\01\07\1816929.xml	Arts and Leisure Desk	By Ben Ratliff
2007\01\07\1816930.xml	Arts and Leisure Desk	By Patricia Cohen
2007\01\07\1816931.xml	Arts and Leisure Desk	By Mike Hale
2007\01\07\1816932.xml	Arts and Leisure Desk	By BERNARD HOLLAND
2007\01\07\1816933.xml	Arts and Leisure Desk	By VIVIEN SCHWEITZER
2007\01\07\1816934.xml	Arts and Leisure Desk	By ANTHONY TOMMASINI
2007\01\07\1816935.xml	Arts and Leisure Desk	By ANTHONY TOMMASINI
2007\01\07\1816936.xml	Arts and Leisure Desk	By JORI FINKEL
2007\01\07\1816937.xml	Arts and Leisure Desk	By MANOHLA DARGIS
2007\01\07\1816938.xml	Arts and Leisure Desk	By STEPHEN HOLDEN
2007\01\07\1816939.xml	Arts and Leisure Desk	By A. O. SCOTT
2007\01\07\1816940.xml	Arts and Leisure Desk	By DINITIA SMITH
2007\01\07\1816941.xml	Arts and Leisure Desk	By KATHRYN SHATTUCK
2007\01\07\1816942.xml	Arts and Leisure Desk	By NATE CHINEN
2007\01\07\1816943.xml	Arts and Leisure Desk	By M. G. LORD
2007\01\07\1816944.xml	Arts and Leisure Desk	By DIANE SOLWAY
2007\01\07\1816945.xml	Arts and Leisure Desk	By DAVID M. HALBFINGER
2007\01\07\1816946.xml	Arts and Leisure Desk	By Kelefa Sanneh
2007\01\07\1816959.xml	Long Island Weekly Desk	By ROBERT STRAUSS
2007\01\07\1816960.xml	Long Island Weekly Desk	By JAN ELLEN SPIEGEL
2007\01\07\1816961.xml	Long Island Weekly Desk	By LINDA F. BURGHARDT
2007\01\07\1816962.xml	Long Island Weekly Desk	By JENNIFER V. HUGHES
2007\01\07\1816963.xml	Long Island Weekly Desk	By SANA SIWOLOP
2007\01\07\1816964.xml	Long Island Weekly Desk	By BENILDE LITTLE
2007\01\07\1816965.xml	Long Island Weekly Desk	By JOANNE STARKEY
2007\01\07\1816966.xml	Long Island Weekly Desk	By SUSAN M. NOVICK
2007\01\07\1816967.xml	Long Island Weekly Desk	By MARCELLE S. FISCHLER
2007\01\07\1816968.xml	Long Island Weekly Desk	By KARIN LIPSON
2007\01\07\1816969.xml	Long Island Weekly Desk	By MICHAEL WINERIP
2007\01\07\1816970.xml	Long Island Weekly Desk	By Lisa Granik
2007\01\07\1816973.xml	Long Island Weekly Desk	By Robin Finn
2007\01\07\1816976.xml	Long Island Weekly Desk	By JOHN RATHER
2007\01\07\1816984.xml	Arts and Leisure Desk	By J. D. BIERSDORFER
2007\01\07\1816985.xml	Arts and Leisure Desk	By ELIZABETH JENSEN
2007\01\07\1816986.xml	Arts and Leisure Desk	By SUSAN STEWART
2007\01\07\1816987.xml	Arts and Leisure Desk	By DAVID CARR
2007\01\07\1816988.xml	Arts and Leisure Desk	By Pedro Almod�var
2007\01\07\1816989.xml	Arts and Leisure Desk	By Peter Morgan
2007\01\07\1816990.xml	Arts and Leisure Desk	By Michael Arndt
2007\01\07\1816991.xml	Connecticut Weekly Desk	By STEPHANIE LYNESS
2007\01\07\1816992.xml	Connecticut Weekly Desk	By PATRICIA BROOKS
2007\01\07\1816993.xml	Connecticut Weekly Desk	By JAN ELLEN SPIEGEL
2007\01\07\1816994.xml	Connecticut Weekly Desk	By LINDA F. BURGHARDT
2007\01\07\1816995.xml	Connecticut Weekly Desk	By JENNIFER V. HUGHES
2007\01\07\1816996.xml	Connecticut Weekly Desk	By SANA SIWOLOP
2007\01\07\1816997.xml	Westchester Weekly Desk	By JAN ELLEN SPIEGEL
2007\01\07\1816998.xml	Westchester Weekly Desk	By LINDA F. BURGHARDT
2007\01\07\1816999.xml	Westchester Weekly Desk	By JENNIFER V. HUGHES
2007\01\07\1817000.xml	Westchester Weekly Desk	By SANA SIWOLOP
2007\01\07\1817001.xml	Westchester Weekly Desk	By BENILDE LITTLE
2007\01\07\1817002.xml	Westchester Weekly Desk	By ALICE GABRIEL
2007\01\07\1817003.xml	Westchester Weekly Desk	By ALICE GABRIEL
2007\01\07\1817004.xml	Connecticut Weekly Desk	By BENJAMIN GENOCCHIO
2007\01\07\1817007.xml	Connecticut Weekly Desk	By SYLVIANE GOLD
2007\01\07\1817008.xml	Westchester Weekly Desk	By ROBERTA HERSHENSON
2007\01\07\1817009.xml	Connecticut Weekly Desk	By JANE GORDON
2007\01\07\1817010.xml	Long Island Weekly Desk	By STEWART AIN
2007\01\07\1817012.xml	Long Island Weekly Desk	By LINDA SASLOW
2007\01\07\1817013.xml	Westchester Weekly Desk	By ROBERT STRAUSS
2007\01\07\1817014.xml	Connecticut Weekly Desk	By ROBERT STRAUSS
2007\01\07\1817015.xml	Long Island Weekly Desk	By LISA W. FODERARO
2007\01\07\1817016.xml	Connecticut Weekly Desk	By LISA W. FODERARO
2007\01\07\1817017.xml	Connecticut Weekly Desk	By ALISON LEIGH COWAN
2007\01\07\1817018.xml	Connecticut Weekly Desk	By JAMES SCHEMBARI
2007\01\07\1817019.xml	Connecticut Weekly Desk	By JEFF HOLTZ
2007\01\07\1817020.xml	Connecticut Weekly Desk	By BENILDE LITTLE
2007\01\07\1817021.xml	Connecticut Weekly Desk	By MICHAEL WINERIP
2007\01\07\1817022.xml	Westchester Weekly Desk	By TAMMY LA GORCE
2007\01\07\1817023.xml	Westchester Weekly Desk	By MICHAEL WINERIP
2007\01\07\1817025.xml	Westchester Weekly Desk	By JOSEPH BERGER
2007\01\07\1817026.xml	Westchester Weekly Desk	By LISA W. FODERARO
2007\01\07\1817027.xml	New Jersey Weekly Desk	By ROBERT STRAUSS
2007\01\07\1817028.xml	New Jersey Weekly Desk	By MICHAEL WINERIP
2007\01\07\1817029.xml	New Jersey Weekly Desk	By JAN ELLEN SPIEGEL
2007\01\07\1817030.xml	New Jersey Weekly Desk	By LINDA F. BURGHARDT
2007\01\07\1817031.xml	New Jersey Weekly Desk	By SANA SIWOLOP
2007\01\07\1817032.xml	New Jersey Weekly Desk	By BENILDE LITTLE
2007\01\07\1817035.xml	Westchester Weekly Desk	By BARBARA WHITAKER
2007\01\07\1817036.xml	Westchester Weekly Desk	By BARBARA WHITAKER
2007\01\07\1817037.xml	Connecticut Weekly Desk	By David A. Grossman
2007\01\07\1817041.xml	New Jersey Weekly Desk	By M. V. Lee Badgett
2007\01\07\1817043.xml	New Jersey Weekly Desk	By DAVID CORCORAN
2007\01\07\1817045.xml	New Jersey Weekly Desk	By KELLY FEENEY
2007\01\07\1817047.xml	New Jersey Weekly Desk	By LISA W. FODERARO
2007\01\07\1817048.xml	New Jersey Weekly Desk	By Kevin Coyne
2007\01\07\1817049.xml	New Jersey Weekly Desk	By TAMMY La GORCE
2007\01\07\1817051.xml	New Jersey Weekly Desk	By RICHARD G. JONES
2007\01\07\1817052.xml	New Jersey Weekly Desk	By JOHN HOLL
2007\01\07\1817053.xml	New Jersey Weekly Desk	By JENNIFER V. HUGHES
2007\01\07\1817054.xml	New Jersey Weekly Desk	By CHRISTOPHER HANN
2007\01\07\1817055.xml	New Jersey Weekly Desk	By ANITA GATES
2007\01\07\1817056.xml	Westchester Weekly Desk	By Ned Sullivan
2007\01\07\1817057.xml	Westchester Weekly Desk	By Maia Szalavitz
2007\01\07\1817062.xml	Real Estate Desk	By CHRISTINE HAUGHNEY
2007\01\07\1817063.xml	Real Estate Desk	By LISA CHAMBERLAIN
2007\01\07\1817064.xml	Real Estate Desk	By VIVIAN S. TOY; With Elsa Brenner, Suzanne Hamlin and Lisa Prevost
2007\01\07\1817065.xml	Real Estate Desk	By DAN SHAW
2007\01\07\1817066.xml	Real Estate Desk	By JOYCE COHEN
2007\01\07\1817068.xml	Real Estate Desk	By C. J. HUGHES
2007\01\07\1817069.xml	Real Estate Desk	By JAY ROMANO
2007\01\07\1817070.xml	Real Estate Desk	By JAY ROMANO
2007\01\07\1817071.xml	Real Estate Desk	By VALERIE COTSALAS
2007\01\07\1817072.xml	Real Estate Desk	By ANTOINETTE MARTIN
2007\01\07\1817073.xml	Automobiles	By LINDSAY BROOKE
2007\01\07\1817074.xml	Automobiles	By TIM MORAN
2007\01\07\1817075.xml	Automobiles	By LAWRENCE ULRICH
2007\01\07\1817076.xml	Automobiles	By DON SHERMAN
2007\01\07\1817077.xml	Real Estate Desk	By ELSA BRENNER
2007\01\07\1817078.xml	Real Estate Desk	By SUZANNE SLESIN
2007\01\07\1817079.xml	Real Estate Desk	By CHRISTOPHER GRAY
2007\01\07\1817080.xml	Real Estate Desk	By BOB TEDESCHI
2007\01\07\1817081.xml	Style Desk	By AMANDA STERN
2007\01\07\1817082.xml	Style Desk	By Bill Cunningham
2007\01\07\1817083.xml	Style Desk	By DAVID COLMAN
2007\01\07\1817084.xml	Style Desk	By MELENA RYZIK
2007\01\07\1817097.xml	Society Desk	By LOIS SMITH BRADY
2007\01\07\1817100.xml	Style Desk	By ELLEN CARPENTER
2007\01\07\1817101.xml	Style Desk	By ALLEN SALKIN
2007\01\07\1817102.xml	Style Desk	By JULIA CHAPLIN
2007\01\07\1817103.xml	Style Desk	By PATTY DANN
2007\01\07\1817105.xml	The City Weekly Desk	By MICHAEL POLLAK
2007\01\07\1817106.xml	The City Weekly Desk	By TOM ROSTON
2007\01\07\1817107.xml	The City Weekly Desk	Compiled by Kris Ensminger
2007\01\07\1817108.xml	The City Weekly Desk	By HOWARD G. GOLDBERG
2007\01\07\1817109.xml	The City Weekly Desk	By ALEX MINDLIN
2007\01\07\1817110.xml	The City Weekly Desk	By JENNIFER BLEYER
2007\01\07\1817111.xml	The City Weekly Desk	By ALEX MINDLIN
2007\01\07\1817112.xml	The City Weekly Desk	By LANIE SHAPIRO
2007\01\07\1817113.xml	The City Weekly Desk	By DANNY FREEDMAN
2007\01\07\1817115.xml	The City Weekly Desk	By JENNIFER BLEYER
2007\01\07\1817116.xml	The City Weekly Desk	By ALEX MINDLIN
2007\01\07\1817117.xml	The City Weekly Desk	By JENNIFER BLEYER
2007\01\07\1817118.xml	The City Weekly Desk	By JAKE MOONEY
2007\01\07\1817119.xml	The City Weekly Desk	By NEAL HIRSCHFELD
2007\01\07\1817120.xml	The City Weekly Desk	By JAKE MOONEY
2007\01\07\1817121.xml	The City Weekly Desk	By Maia Szalavitz
2007\01\07\1817122.xml	The City Weekly Desk	By Anthony J. Sebok and Samuel K. Murumba
2007\01\07\1817127.xml	Money and Business/Financial Desk	By STEPHEN KOTKIN
2007\01\07\1817128.xml	Money and Business/Financial Desk	By DANIEL AKST
2007\01\07\1817129.xml	Money and Business/Financial Desk	By DANIEL GROSS
2007\01\07\1817130.xml	Money and Business/Financial Desk	By VIVIAN MARINO
2007\01\07\1817131.xml	Money and Business/Financial Desk	By PAUL J. LIM
2007\01\07\1817132.xml	Money and Business/Financial Desk	By CONRAD DE AENLLE
2007\01\07\1817133.xml	Money and Business/Financial Desk	By ANNE EISENBERG
2007\01\07\1817134.xml	Money and Business/Financial Desk	By J. ALEX TARQUINIO
2007\01\07\1817135.xml	Money and Business/Financial Desk	By MARK HULBERT
2007\01\07\1817136.xml	Money and Business/Financial Desk	By JOHN SCHWARTZ
2007\01\07\1817137.xml	Money and Business/Financial Desk	By PAUL J. LIM
2007\01\07\1817138.xml	Money and Business/Financial Desk	By VIVIAN MARINO
2007\01\07\1817139.xml	Money and Business/Financial Desk	By TIM GRAY
2007\01\07\1817140.xml	Money and Business/Financial Desk	By PAUL B. BROWN
2007\01\07\1817141.xml	Money and Business/Financial Desk	By NORM ALSTER
2007\01\07\1817142.xml	Money and Business/Financial Desk	By DANIEL GROSS
2007\01\07\1817143.xml	Money and Business/Financial Desk	By ROBERT D. HERSHEY Jr.
2007\01\07\1817144.xml	Money and Business/Financial Desk	By CONRAD DE AENLLE
2007\01\07\1817145.xml	Money and Business/Financial Desk	By BARRY REHFELD
2007\01\07\1817146.xml	Money and Business/Financial Desk	By CAROLE GOULD
2007\01\07\1817147.xml	Money and Business/Financial Desk	By BEN STEIN
2007\01\07\1817148.xml	Money and Business/Financial Desk	By RICHARD SIKLOS
2007\01\07\1817149.xml	Money and Business/Financial Desk	By RON STODGHILL
2007\01\07\1817150.xml	Money and Business/Financial Desk	By GRETCHEN MORGENSON
2007\01\07\1817151.xml	Money and Business/Financial Desk	By GARY RIVLIN
2007\01\07\1817153.xml	Money and Business/Financial Desk	By JEFF SOMMER
2007\01\07\1817154.xml	Money and Business/Financial Desk	By MATT VILLANO
2007\01\07\1817155.xml	Money and Business/Financial Desk	By JULIA A. STEWART; As told to Claudia H. Deutsch.
2007\01\07\1817156.xml	Money and Business/Financial Desk	By PHYLLIS KORKKI
2007\01\07\1817157.xml	Money and Business/Financial Desk	By BRENDAN I. KOERNER
2007\01\07\1817161.xml	Money and Business/Financial Desk	By ERIC DASH
2007\01\07\1817162.xml	Money and Business/Financial Desk	By JEREMY W. PETERS
2007\01\07\1817163.xml	Money and Business/Financial Desk	By ELIZABETH OLSON
2007\01\07\1817164.xml	Money and Business/Financial Desk	By PATRICK McGEEHAN
2007\01\07\1817165.xml	Money and Business/Financial Desk	By MARK A. STEIN
2007\01\07\1817167.xml	Style Desk	By KATE STONE LOMBARDI
2007\01\07\1817171.xml	Week in Review Desk	By MATTHEW L. WALD
2007\01\07\1817172.xml	Week in Review Desk	By BILL MARSH
2007\01\07\1817175.xml	Style Desk	By Bill Cunningham
<p>
2007\01\07\1817176.xml	Editorial Desk	By Charles Baxter
2007\01\07\1817177.xml	Editorial Desk	By Dan Chaon
2007\01\07\1817178.xml	Editorial Desk	By Robert Hicks
2007\01\07\1817179.xml	Editorial Desk	By Deirdre McNamer
2007\01\07\1817180.xml	Editorial Desk	By DAVID BROOKS
2007\01\07\1817181.xml	Editorial Desk	By FRANK RICH
2007\01\07\1817182.xml	Week in Review Desk	By MARY JO MURPHY
2007\01\07\1817183.xml	Week in Review Desk	By WILLIAM L. HAMILTON
2007\01\07\1817184.xml	Week in Review Desk	By ANDREW C. REVKIN
2007\01\07\1817185.xml	Week in Review Desk	By LARRY ROHTER
2007\01\07\1817188.xml	Editorial Desk	By VERLYN KLINKENBORG
2007\01\07\1817192.xml	Week in Review Desk	By CARA BUCKLEY
2007\01\07\1817193.xml	Week in Review Desk	By KATE ZERNIKE
2007\01\07\1817194.xml	Week in Review Desk	By RYAN LIZZA
2007\01\07\1817196.xml	Foreign Desk	By JENNIFER DUNNING
2007\01\07\1817197.xml	National Desk	By MARGALIT FOX
2007\01\07\1817198.xml	Sports Desk	By HOWARD BECK
2007\01\07\1817199.xml	Sports Desk	By FRED BIERMAN and BENJAMIN HOFFMAN
2007\01\07\1817200.xml	Sports Desk	By VINCENT M. MALLOZZI
2007\01\07\1817202.xml	Sports Desk	By FRANK LITSKY
2007\01\07\1817203.xml	Foreign Desk	By JAMES C. McKINLEY Jr.
2007\01\07\1817204.xml	Foreign Desk	By AMELIA GENTLEMAN
2007\01\07\1817205.xml	Sports Desk	By MURRAY CHASS
2007\01\07\1817206.xml	Metropolitan Desk	By Dylan Loeb McClain
2007\01\07\1817209.xml	Sports Desk	By JEFF Z. KLEIN and KARL-ERIC REIF
2007\01\07\1817210.xml	National Desk	By JOHN MARKOFF
2007\01\07\1817211.xml	National Desk	By ROBERT PEAR
2007\01\07\1817212.xml	National Desk	By RANDAL C. ARCHIBOLD
2007\01\07\1817216.xml	National Desk	By ROBERT PEAR
2007\01\07\1817217.xml	National Desk	By RALPH BLUMENTHAL
2007\01\07\1817218.xml	Sports Desk	By JOHN BRANCH
2007\01\07\1817219.xml	Sports Desk	By MICHAEL WEINREB
2007\01\07\1817220.xml	National Desk	By WILLIAM J. BROAD; Dennis Overbye and Andrew C. Revkin contributed reporting.
2007\01\07\1817222.xml	National Desk	By CARL HULSE
2007\01\07\1817223.xml	National Desk	By JOHN MARKOFF
2007\01\07\1817224.xml	Sports Desk	By JOHN ELIGON
2007\01\07\1817225.xml	Sports Desk	By ANDREW ZIMBALIST
2007\01\07\1817226.xml	Metropolitan Desk	By PATRICK HEALY and RUSS BUETTNER
2007\01\07\1817227.xml	Metropolitan Desk	By JANNY SCOTT
2007\01\07\1817228.xml	Sports Desk	By JOHN BRANCH
2007\01\07\1817229.xml	Sports Desk	By KAREN CROUSE
2007\01\07\1817231.xml	Metropolitan Desk	By JOSEPH P. FRIED
2007\01\07\1817232.xml	Metropolitan Desk	By DAVID STABA
2007\01\07\1817233.xml	Sports Desk	By ADAM HIMMELSBACH
2007\01\07\1817236.xml	Sports Desk	By WILLIAM C. RHODEN
2007\01\07\1817238.xml	National Desk	This article is by William J. Broad, David E. Sanger and Thom Shanker.
2007\01\07\1817239.xml	Sports Desk	By BILL FINLEY
2007\01\07\1817240.xml	Foreign Desk	By ELISABETH ROSENTHAL
2007\01\07\1817241.xml	Foreign Desk	By JEFFREY GETTLEMAN; Mohammed Ibrahim and Yuusuf Maxamuud contributed reporting from Mogadishu.
2007\01\07\1817243.xml	Foreign Desk	By LARRY ROHTER
2007\01\07\1817244.xml	Foreign Desk	By SHIMALI SENANAYAKE
2007\01\07\1817245.xml	Foreign Desk	By STEVEN ERLANGER
2007\01\07\1817246.xml	Foreign Desk	By STEVEN ERLANGER
2007\01\07\1817247.xml	Metropolitan Desk	By JAMES BARRON; Reporting was contributed by Michael Amon, Cara Buckley, Rebecca Cathcart, Ann Farmer and Kate Hammer.
2007\01\07\1817248.xml	Metropolitan Desk	By RAY RIVERA
2007\01\07\1817249.xml	Foreign Desk	By PAUL von ZIELBAUER; David S. Cloud contributed reporting.
2007\01\07\1817250.xml	Foreign Desk	By MARC SANTORA
2007\01\07\1817251.xml	Foreign Desk	This article was reported by John F. Burns, James Glanz, Sabrina Tavernise and Marc Santora and written by Mr. Burns.; David E. Sanger contributed reporting from Washington, and Iraqi employees of The New York Times from Baghdad.
2007\01\07\1817252.xml	New Jersey Weekly Desk	By DAVID K. RANDALL
2007\01\07\1817253.xml	New Jersey Weekly Desk	By JOHN HOLL
2007\01\07\1817254.xml	Metropolitan Desk	By PETER APPLEBOME
2007\01\07\1817255.xml	Metropolitan Desk	By MANNY FERNANDEZ
2007\01\07\1817256.xml	Metropolitan Desk	By COREY KILGANNON
2007\01\07\1817257.xml	Metropolitan Desk	By TIMOTHY WILLIAMS and NINA BERNSTEIN
2007\01\07\1817258.xml	Metropolitan Desk	By ANTHONY RAMIREZ; Erin Duggan and Stephen Heyman contributed reporting.
2007\01\07\1817259.xml	Sports Desk	By HOWARD BECK
2007\01\07\1817268.xml	Westchester Weekly Desk	By ERIN DUGGAN
2007\01\07\1817269.xml	Westchester Weekly Desk	By DAVID SCHARFENBERG
2007\01\07\1817272.xml	Metropolitan Desk	By CARA BUCKLEY; Michael Amon and Ann Farmer contributed reporting.
2007\01\07\1817276.xml	Week in Review Desk	By SIMON ROMERO
2007\01\07\1817277.xml	Job Market	By LOUISE KRAMER
2007\01\07\1817278.xml	Sports Desk	By HARVEY ARATON
2007\01\07\1817279.xml	Long Island Weekly Desk	By SHELLY FEUER DOMASH
2007\01\07\1817280.xml	Long Island Weekly Desk	By LINDA SASLOW
2007\01\07\1817281.xml	Sports Desk	By JOHN ELIGON
2007\01\07\1817282.xml	Sports Desk	By CLIFTON BROWN
2007\01\07\1817283.xml	Sports Desk	By BILL PENNINGTON
2007\01\07\1817284.xml	Sports Desk	By LEE JENKINS
2007\01\07\1817287.xml	Sports Desk	By PETE THAMEL
2007\01\07\1817289.xml	Foreign Desk	By SABRINA TAVERNISE; Hosham Hussein contributed reporting.
2007\01\07\1817290.xml	Foreign Desk	By DAVID E. SANGER; Thom Shanker contributed reporting from Washington, and Marc Santora from Baghdad.
2007\01\07\1817291.xml	Sports Desk	By LEE JENKINS
2007\01\07\1817299.xml	Sports Desk	By THAYER EVANS
2007\01\07\1817300.xml	Sports Desk	By MICHAEL S. SCHMIDT
2007\01\07\1817301.xml	Automobiles	By NICK KURCZEWSKI
2007\01\07\1817302.xml	Automobiles	By JERRY GARRETT
2007\01\07\1817303.xml	Automobiles	By LAWRENCE ULRICH
2007\01\07\1817304.xml	Automobiles	By WILLIAM DIEM
2007\01\07\1817305.xml	Automobiles	By JERRY GARRETT
2007\01\07\1817306.xml	Sports Desk	By THE ASSOCIATED PRESS
2007\01\07\1817307.xml	Real Estate Desk	By LISA PREVOST
2007\01\08\1817335.xml	The Arts/Cultural Desk	By Phillip Alder
2007\01\08\1817336.xml	The Arts/Cultural Desk	By STEVE SMITH
2007\01\08\1817337.xml	Business/Financial Desk	By STUART ELLIOTT
2007\01\08\1817339.xml	The Arts/Cultural Desk	By JENNIFER DUNNING
2007\01\08\1817340.xml	The Arts/Cultural Desk	By RICHARD EDER
2007\01\08\1817341.xml	Business/Financial Desk	By SHELLY FREIERMAN
2007\01\08\1817342.xml	The Arts/Cultural Desk	By ALESSANDRA STANLEY
2007\01\08\1817343.xml	The Arts/Cultural Desk	By ALLAN KOZINN
2007\01\08\1817344.xml	The Arts/Cultural Desk	By VIRGINIA HEFFERNAN
2007\01\08\1817345.xml	The Arts/Cultural Desk	By GINIA BELLAFANTE
2007\01\08\1817346.xml	The Arts/Cultural Desk	By MICHAEL DAVIS
